,Глубина_манометра_м_2,Dшт_мм_3,Рзаб_бара_5,Pлин_бара_6,Рлин_бар_9,Туст__С_10,Тна_шлейфе__С_11,Тзаб__С_12,Tлин__С_13,Дебит_воды_м3/сут_16,Дебит_гааз_м3/сут_18,Дебит_кон_нестабильный_м3/сут_19,Нэф_м_21,Рпл_Тек_(послед_точка_на_КВД)_МПа_22,Рпл_Тек_(Расчет_по_КВД)_МПа_23,Рпл_Тек_(Карноухов)_МПа_24,Pсб__атм_25,Ro_c_кг/м3_28,Удельная_плотность_газа__б/р_30,G_total_кг/с_31,КГФ_г/м3_32
0,3576.3,7.94,370.1,101.8,101.8,53.0,31.7,103.2,32.5,0.4,1610.368866,131.3,56.8,45.25,56.5,,93.6,801.0,0.6694490579710143,2.782622710802093,311.9094
1,3576.3,9.53,364.6,101.3,102.4,58.8,37.6,103.0,38.6,1.4,2310.226429,158.5,56.8,45.25,56.5,,92.9,801.0,0.6694490579710143,3.6977813307944776,288.6003
2,3576.3,11.11,357.1,101.6,100.6,63.6,42.8,102.6,43.4,1.9,3039.48968,172.3,56.8,45.25,56.5,,91.4,801.0,0.6694490579710143,4.515072751311305,248.7906
3,3576.3,12.7,347.4,98.4,99.0,64.7,46.2,102.0,46.1,3.3,3824.082686,181.5,56.8,45.25,56.5,,89.2,801.0,0.6694490579710143,5.217672708395432,223.5591
4,3576.3,14.29,337.69999999999993,99.2,99.5,64.0,49.4,104.4,49.9,4.6,4299.104676,190.6,56.8,45.25,56.5,,89.7,801.0,0.6694490579710143,5.765092040467829,215.1486
5,3576.3,9.53,286.4,106.36166898470155,106.19,57.5,38.8,102.64,38.979712100139054,0.6,1921.0,119.0,56.8,41.22431,48.3,,90.7,789.8,0.675,3.0765420138888886,241.130793707915
6,3590.0,7.93,391.823775,,,46.0,,102.8,,0.0,,,57.2,41.88,52.3,51.7,,,,,
7,3590.0,11.11,384.2244,,,56.0,,102.9,,0.1,,,57.2,41.88,52.3,51.7,,,,,
8,3590.0,14.28,371.91239924999996,,,63.0,,103.0,,0.8,,,57.2,41.88,52.3,51.7,,,,,
9,3590.0,17.46,346.19206125,,,65.0,,103.3,,1.2,,,57.2,41.88,52.3,51.7,,,,,
10,3667.0,7.94,354.333525,102.93200404858312,101.56548387096784,56.0,,105.3,32.99727530364374,0.0,1807.4,90.4,57.2,38.74,50.8596,50.1,100.9,787.0,0.659,,188.0
11,3667.0,9.53,350.20000000000005,103.18690228690187,103.32258064516141,61.0,,105.2,39.06092099792096,0.0,2532.4,118.0,57.2,38.74,50.8596,50.1,100.1,787.0,0.659,,178.0
